"","Top Ave. (C)","Downstream Pitch Ave. (C)","Outer Ave. (C)","Lower Ave. (C)"
"3210:22:00","21.142","21.159","21.231","21.053"
"3210:23:00","21.140","21.158","21.230","21.054"
"3210:24:00","21.140","21.158","21.231","21.056"
"3210:25:00","21.141","21.158","21.230","21.059"
"3210:25:00","21.141","21.158","21.230","21.059"
"3210:26:00","21.143","21.160","21.233","21.058"
"3210:27:00","21.142","21.159","21.233","21.055"
"3210:28:00","21.142","21.159","21.230","21.054"
"3210:29:00","21.141","21.159","21.231","21.055"
"3210:30:00","21.139","21.158","21.231","21.057"
"3210:31:00","21.142","21.158","21.234","21.055"
"3210:32:00","21.142","21.157","21.234","21.056"
"3210:33:00","21.141","21.158","21.235","21.057"
"3210:34:00","21.142","21.158","21.235","21.057"
"3210:35:00","21.142","21.160","21.236","21.056"
"3210:36:00","21.144","21.159","21.232","21.056"
"3210:37:00","21.142","21.159","21.235","21.057"
"3210:38:00","21.145","21.160","21.235","21.057"
"3210:39:00","21.142","21.159","21.231","21.057"
"3210:40:00","21.142","21.158","21.230","21.057"
"3210:41:00","21.141","21.158","21.233","21.056"
"3210:42:00","21.142","21.159","21.233","21.055"
"3210:43:00","21.142","21.159","21.233","21.053"
"3210:44:00","21.141","21.160","21.234","21.055"
"3210:45:00","21.142","21.160","21.235","21.057"
"3210:45:00","21.142","21.160","21.235","21.057"
"3210:46:00","21.138","21.162","21.234","21.058"
"3210:47:00","21.139","21.159","21.232","21.058"
"3210:48:00","21.140","21.161","21.230","21.056"
"3210:49:00","21.140","21.160","21.228","21.056"
"3210:50:00","21.139","21.159","21.229","21.056"
"3210:51:00","21.141","21.160","21.233","21.057"
"3210:52:00","21.141","21.160","21.231","21.056"
"3210:53:00","21.140","21.158","21.232","21.054"
"3210:54:00","21.140","21.159","21.231","21.057"
"3210:55:00","21.141","21.158","21.232","21.057"
"3210:56:00","21.141","21.155","21.233","21.055"
"3210:57:00","21.139","21.158","21.229","21.052"
"3210:58:00","21.139","21.158","21.231","21.055"
"3210:59:00","21.138","21.159","21.232","21.054"
"3211:00:00","21.138","21.156","21.232","21.054"
"3211:01:00","21.137","21.157","21.232","21.053"
"3211:02:00","21.137","21.159","21.230","21.053"
"3211:03:00","21.138","21.158","21.231","21.054"
"3211:04:00","21.140","21.157","21.229","21.052"
"3211:05:00","21.140","21.157","21.226","21.052"
"3211:05:00","21.140","21.157","21.226","21.052"
"3211:06:00","21.138","21.157","21.226","21.051"
"3211:07:00","21.139","21.156","21.227","21.052"
"3211:08:00","21.142","21.157","21.228","21.051"
"3211:09:00","21.141","21.156","21.228","21.055"
"3211:10:00","21.142","21.157","21.231","21.052"
"3211:11:00","21.143","21.157","21.229","21.054"
"3211:12:00","21.144","21.159","21.231","21.055"
"3211:13:00","21.142","21.157","21.231","21.056"
"3211:14:00","21.142","21.157","21.232","21.057"
"3211:15:00","21.144","21.159","21.233","21.056"
"3211:16:00","21.144","21.159","21.235","21.057"
"3211:17:00","21.143","21.159","21.235","21.059"
"3211:18:00","21.140","21.160","21.235","21.060"
"3211:19:00","21.140","21.159","21.235","21.057"
"3211:20:00","21.141","21.159","21.234","21.054"
"3211:21:00","21.143","21.159","21.232","21.054"
"3211:22:00","21.144","21.159","21.233","21.055"
"3211:23:00","21.144","21.159","21.232","21.057"
"3211:24:00","21.142","21.159","21.234","21.059"
"3211:25:00","21.144","21.159","21.234","21.058"
"3211:25:00","21.144","21.159","21.234","21.058"
"3211:26:00","21.143","21.159","21.234","21.055"
"3211:27:00","21.142","21.157","21.235","21.056"
"3211:28:00","21.143","21.158","21.235","21.057"
"3211:29:00","21.145","21.157","21.235","21.057"
"3211:30:00","21.144","21.158","21.235","21.054"
"3211:31:00","21.143","21.159","21.232","21.055"
"3211:32:00","21.144","21.160","21.236","21.057"
"3211:33:00","21.143","21.159","21.234","21.057"
"3211:34:00","21.142","21.161","21.236","21.054"
"3211:35:00","21.143","21.158","21.236","21.056"
"3211:36:00","21.145","21.158","21.236","21.057"
"3211:37:00","21.144","21.159","21.238","21.059"
"3211:38:00","21.144","21.160","21.236","21.059"
"3211:39:00","21.143","21.159","21.238","21.056"
"3211:40:00","21.144","21.160","21.237","21.058"
"3211:41:00","21.144","21.162","21.236","21.058"
"3211:42:00","21.144","21.162","21.236","21.058"
"3211:43:00","21.144","21.160","21.235","21.057"
"3211:44:00","21.143","21.159","21.238","21.057"
"3211:45:00","21.145","21.160","21.238","21.060"
"3211:45:00","21.145","21.160","21.238","21.060"
"3211:46:00","21.144","21.160","21.238","21.060"
"3211:47:00","21.144","21.160","21.238","21.060"
"3211:48:00","21.141","21.160","21.235","21.059"
"3211:49:00","21.140","21.160","21.236","21.059"
"3211:50:00","21.140","21.161","21.238","21.058"
"3211:51:00","21.142","21.161","21.236","21.060"
"3211:52:00","21.141","21.160","21.238","21.058"
"3211:53:00","21.142","21.161","21.238","21.057"
"3211:54:00","21.140","21.159","21.241","21.057"
"3211:55:00","21.143","21.159","21.239","21.058"
"3211:56:00","21.142","21.158","21.239","21.056"
"3211:57:00","21.142","21.159","21.236","21.059"
"3211:58:00","21.142","21.160","21.237","21.057"
"3211:59:00","21.144","21.160","21.235","21.055"
"3212:00:00","21.145","21.157","21.236","21.054"
"3212:01:00","21.143","21.157","21.233","21.054"
"3212:02:00","21.143","21.158","21.231","21.054"
"3212:03:00","21.144","21.158","21.231","21.053"
"3212:04:00","21.142","21.161","21.232","21.053"
"3212:05:00","21.143","21.160","21.232","21.055"
"3212:05:00","21.143","21.160","21.232","21.055"
"3212:06:00","21.142","21.157","21.230","21.056"
"3212:07:00","21.142","21.159","21.227","21.055"
"3212:08:00","21.144","21.159","21.229","21.055"
"3212:09:00","21.143","21.160","21.233","21.056"
"3212:10:00","21.143","21.158","21.230","21.056"
"3212:11:00","21.142","21.158","21.234","21.055"
"3212:12:00","21.143","21.158","21.233","21.054"
"3212:13:00","21.143","21.160","21.235","21.054"
"3212:14:00","21.144","21.160","21.236","21.055"
"3212:15:00","21.144","21.159","21.233","21.057"
"3212:16:00","21.144","21.160","21.236","21.056"
"3212:17:00","21.142","21.159","21.233","21.055"
"3212:18:00","21.141","21.158","21.233","21.056"
"3212:19:00","21.141","21.159","21.235","21.056"
"3212:20:00","21.141","21.158","21.235","21.058"
"3212:21:00","21.144","21.159","21.235","21.058"
"3212:22:00","21.141","21.160","21.233","21.057"
"3212:23:00","21.140","21.160","21.231","21.056"
"3212:24:00","21.139","21.159","21.228","21.054"
"3212:25:00","21.139","21.158","21.229","21.056"
"3212:25:00","21.139","21.158","21.229","21.056"
"3212:26:00","21.140","21.158","21.228","21.057"
"3212:27:00","21.140","21.159","21.226","21.056"
"3212:28:00","21.142","21.159","21.229","21.054"
"3212:29:00","21.139","21.159","21.229","21.054"
"3212:30:00","21.141","21.158","21.230","21.055"
"3212:31:00","21.141","21.160","21.231","21.056"
"3212:32:00","21.142","21.159","21.234","21.056"
"3212:33:00","21.142","21.161","21.236","21.060"
"3212:34:00","21.144","21.159","21.237","21.060"
"3212:35:00","21.143","21.162","21.234","21.061"
"3212:36:00","21.143","21.161","21.233","21.060"
"3212:37:00","21.141","21.162","21.236","21.061"
"3212:38:00","21.142","21.163","21.238","21.063"
"3212:39:00","21.143","21.161","21.238","21.061"
"3212:40:00","21.143","21.163","21.235","21.062"
"3212:41:00","21.144","21.164","21.237","21.062"
"3212:42:00","21.144","21.163","21.237","21.061"
"3212:43:00","21.145","21.162","21.234","21.061"
"3212:44:00","21.144","21.162","21.233","21.059"
"3212:45:00","21.141","21.159","21.233","21.057"
"3212:45:00","21.141","21.159","21.233","21.057"
"3212:46:00","21.140","21.160","21.231","21.059"
"3212:47:00","21.141","21.162","21.230","21.057"
"3212:48:00","21.141","21.158","21.230","21.052"
"3212:49:00","21.141","21.159","21.232","21.054"
"3212:50:00","21.144","21.160","21.229","21.056"
"3212:51:00","21.141","21.159","21.231","21.055"
"3212:52:00","21.142","21.161","21.232","21.057"
"3212:53:00","21.143","21.161","21.234","21.055"
"3212:54:00","21.145","21.161","21.234","21.055"
"3212:55:00","21.144","21.161","21.232","21.057"
"3212:56:00","21.142","21.161","21.231","21.058"
"3212:57:00","21.141","21.159","21.231","21.055"
"3212:58:00","21.141","21.160","21.233","21.053"
"3212:59:00","21.141","21.159","21.230","21.055"
"3213:00:00","21.141","21.159","21.230","21.054"
"3213:01:00","21.143","21.159","21.231","21.054"
"3213:02:00","21.145","21.159","21.229","21.054"
"3213:03:00","21.145","21.159","21.231","21.058"
"3213:04:00","21.142","21.161","21.231","21.058"
"3213:05:00","21.142","21.159","21.232","21.056"
"3213:05:00","21.142","21.159","21.232","21.056"
"3213:06:00","21.144","21.159","21.231","21.056"
"3213:07:00","21.142","21.159","21.235","21.056"
"3213:08:00","21.144","21.161","21.233","21.058"
"3213:09:00","21.142","21.162","21.232","21.060"
"3213:10:00","21.144","21.161","21.234","21.060"
"3213:11:00","21.144","21.159","21.235","21.059"
"3213:12:00","21.143","21.159","21.234","21.057"
"3213:13:00","21.144","21.161","21.233","21.056"
"3213:14:00","21.145","21.160","21.234","21.058"
"3213:15:00","21.145","21.161","21.236","21.061"
"3213:16:00","21.145","21.162","21.236","21.061"
"3213:17:00","21.144","21.161","21.237","21.062"
"3213:18:00","21.143","21.162","21.238","21.061"
"3213:19:00","21.144","21.161","21.237","21.061"
"3213:20:00","21.145","21.162","21.239","21.060"
"3213:21:00","21.143","21.164","21.240","21.060"
"3213:22:00","21.144","21.162","21.237","21.059"
"3213:23:00","21.144","21.161","21.237","21.057"
"3213:24:00","21.144","21.160","21.236","21.057"
"3213:25:00","21.143","21.161","21.237","21.060"
"3213:25:00","21.143","21.161","21.237","21.060"
"3213:26:00","21.142","21.162","21.234","21.061"
"3213:27:00","21.144","21.162","21.236","21.061"
"3213:28:00","21.147","21.162","21.237","21.060"
"3213:29:00","21.145","21.162","21.234","21.058"
"3213:30:00","21.144","21.163","21.235","21.060"
"3213:31:00","21.144","21.162","21.236","21.062"
"3213:32:00","21.143","21.162","21.235","21.062"
"3213:33:00","21.141","21.163","21.238","21.061"
"3213:34:00","21.141","21.162","21.236","21.060"
"3213:35:00","21.142","21.161","21.231","21.060"
"3213:36:00","21.142","21.162","21.232","21.060"
"3213:37:00","21.144","21.162","21.235","21.059"
"3213:38:00","21.141","21.160","21.236","21.060"
"3213:39:00","21.143","21.162","21.239","21.060"
"3213:40:00","21.144","21.162","21.239","21.061"
"3213:41:00","21.143","21.163","21.238","21.062"
"3213:42:00","21.143","21.161","21.241","21.060"
"3213:43:00","21.145","21.163","21.240","21.063"
"3213:44:00","21.144","21.163","21.238","21.064"
"3213:45:00","21.144","21.163","21.240","21.063"
"3213:45:00","21.144","21.163","21.240","21.063"
"3213:46:00","21.144","21.163","21.243","21.061"
"3213:47:00","21.145","21.162","21.240","21.060"
"3213:48:00","21.147","21.162","21.237","21.059"
"3213:49:00","21.144","21.162","21.237","21.058"
"3213:50:00","21.142","21.162","21.239","21.057"
"3213:51:00","21.144","21.161","21.239","21.058"
"3213:52:00","21.144","21.163","21.239","21.061"
"3213:53:00","21.146","21.162","21.242","21.060"
"3213:54:00","21.145","21.163","21.239","21.063"
"3213:55:00","21.146","21.165","21.242","21.064"
"3213:56:00","21.146","21.165","21.241","21.064"
"3213:57:00","21.146","21.165","21.241","21.064"
"3213:58:00","21.147","21.165","21.242","21.066"
"3213:59:00","21.146","21.164","21.242","21.066"
"3214:00:00","21.147","21.165","21.240","21.065"
"3214:01:00","21.145","21.165","21.241","21.066"
"3214:02:00","21.148","21.164","21.240","21.065"
"3214:03:00","21.147","21.165","21.241","21.066"
"3214:04:00","21.145","21.164","21.239","21.065"
"3214:05:00","21.144","21.165","21.241","21.067"
"3214:05:00","21.144","21.165","21.241","21.067"
"3214:06:00","21.145","21.164","21.242","21.066"
"3214:07:00","21.148","21.164","21.242","21.064"
"3214:08:00","21.144","21.163","21.239","21.060"
"3214:09:00","21.144","21.164","21.239","21.059"
"3214:10:00","21.144","21.165","21.240","21.060"
"3214:11:00","21.145","21.163","21.240","21.059"
"3214:12:00","21.144","21.165","21.241","21.059"
"3214:13:00","21.145","21.164","21.241","21.060"
"3214:14:00","21.146","21.163","21.239","21.059"
"3214:15:00","21.145","21.162","21.239","21.060"
"3214:16:00","21.146","21.164","21.237","21.060"
"3214:17:00","21.146","21.164","21.235","21.061"
"3214:18:00","21.145","21.164","21.238","21.060"
"3214:19:00","21.145","21.163","21.238","21.058"
"3214:20:00","21.145","21.162","21.239","21.059"
"3214:21:00","21.145","21.163","21.237","21.060"
"3214:22:00","21.146","21.163","21.237","21.061"
"3214:23:00","21.145","21.164","21.237","21.059"
"3214:24:00","21.145","21.162","21.237","21.060"
"3214:25:00","21.143","21.162","21.237","21.059"
"3214:25:00","21.143","21.162","21.237","21.059"
"3214:26:00","21.143","21.163","21.236","21.062"
"3214:27:00","21.143","21.162","21.235","21.063"
"3214:28:00","21.144","21.161","21.233","21.062"
"3214:29:00","21.142","21.161","21.234","21.057"
"3214:30:00","21.143","21.162","21.235","21.056"
"3214:31:00","21.143","21.159","21.236","21.056"
"3214:32:00","21.142","21.160","21.236","21.056"
"3214:33:00","21.143","21.160","21.237","21.053"
"3214:34:00","21.142","21.161","21.237","21.055"
"3214:35:00","21.144","21.162","21.235","21.057"
"3214:36:00","21.145","21.160","21.233","21.056"
"3214:37:00","21.144","21.161","21.234","21.056"
"3214:38:00","21.144","21.162","21.234","21.058"
"3214:39:00","21.145","21.159","21.234","21.058"
"3214:40:00","21.145","21.161","21.234","21.058"
"3214:41:00","21.144","21.161","21.236","21.058"
"3214:42:00","21.145","21.161","21.237","21.056"
"3214:43:00","21.143","21.160","21.235","21.058"
"3214:44:00","21.141","21.161","21.234","21.058"
"3214:45:00","21.141","21.161","21.234","21.056"
"3214:45:00","21.141","21.161","21.234","21.056"
"3214:46:00","21.144","21.160","21.235","21.056"
"3214:47:00","21.142","21.160","21.237","21.056"
"3214:48:00","21.141","21.158","21.232","21.056"
"3214:49:00","21.142","21.157","21.235","21.054"
"3214:50:00","21.140","21.160","21.236","21.054"
"3214:51:00","21.142","21.161","21.233","21.056"
"3214:52:00","21.141","21.159","21.236","21.055"
"3214:53:00","21.142","21.158","21.238","21.054"
"3214:54:00","21.142","21.158","21.239","21.057"
"3214:55:00","21.143","21.160","21.239","21.058"
"3214:56:00","21.143","21.160","21.240","21.057"
"3214:57:00","21.142","21.162","21.237","21.056"
"3214:58:00","21.142","21.162","21.238","21.060"
"3214:59:00","21.144","21.161","21.239","21.059"
"3215:00:00","21.143","21.162","21.239","21.060"
"3215:01:00","21.143","21.161","21.239","21.062"
"3215:02:00","21.144","21.163","21.239","21.064"
"3215:03:00","21.143","21.161","21.240","21.062"
"3215:04:00","21.142","21.163","21.239","21.061"
"3215:05:00","21.143","21.163","21.238","21.061"
"3215:05:00","21.143","21.163","21.238","21.061"
"3215:06:00","21.142","21.163","21.239","21.061"
"3215:07:00","21.143","21.160","21.240","21.061"
"3215:08:00","21.144","21.160","21.242","21.058"
"3215:09:00","21.145","21.161","21.243","21.060"
"3215:10:00","21.145","21.163","21.242","21.061"
"3215:11:00","21.147","21.161","21.245","21.061"
"3215:12:00","21.149","21.162","21.246","21.060"
"3215:13:00","21.146","21.163","21.244","21.058"
"3215:14:00","21.146","21.161","21.243","21.061"
"3215:15:00","21.147","21.161","21.240","21.058"
"3215:16:00","21.146","21.161","21.241","21.057"
"3215:17:00","21.145","21.161","21.242","21.059"
"3215:18:00","21.145","21.161","21.244","21.058"
"3215:19:00","21.145","21.161","21.245","21.059"
"3215:20:00","21.144","21.161","21.244","21.059"
"3215:21:00","21.146","21.163","21.244","21.059"
"3215:22:00","21.146","21.163","21.245","21.058"
"3215:23:00","21.147","21.163","21.246","21.060"
"3215:24:00","21.147","21.162","21.245","21.060"
"3215:25:00","21.146","21.162","21.246","21.062"
"3215:25:00","21.146","21.162","21.246","21.062"
"3215:26:00","21.145","21.163","21.244","21.063"
"3215:27:00","21.146","21.164","21.242","21.061"
"3215:28:00","21.146","21.163","21.243","21.058"
"3215:29:00","21.146","21.162","21.242","21.058"
"3215:30:00","21.147","21.162","21.242","21.059"
"3215:31:00","21.148","21.162","21.242","21.060"
"3215:32:00","21.150","21.163","21.245","21.061"
"3215:33:00","21.147","21.163","21.248","21.061"
"3215:34:00","21.148","21.163","21.244","21.060"
"3215:35:00","21.148","21.164","21.243","21.061"
"3215:36:00","21.148","21.163","21.243","21.062"
"3215:37:00","21.147","21.163","21.240","21.061"
"3215:38:00","21.145","21.163","21.240","21.058"
"3215:39:00","21.147","21.163","21.241","21.060"
"3215:40:00","21.146","21.162","21.237","21.061"
"3215:41:00","21.145","21.163","21.237","21.060"
"3215:42:00","21.144","21.161","21.237","21.056"
"3215:43:00","21.144","21.162","21.238","21.056"
"3215:44:00","21.146","21.164","21.239","21.059"
"3215:45:00","21.143","21.161","21.239","21.060"
"3215:45:00","21.143","21.161","21.239","21.060"
"3215:46:00","21.146","21.163","21.241","21.060"
"3215:47:00","21.144","21.163","21.240","21.061"
