"","Top Ave. (C)","Downstream Pitch Ave. (C)","Outer Ave. (C)","Lower Ave. (C)"
"3185:08:00","21.104","21.112","21.197","21.023"
"3185:09:00","21.102","21.112","21.195","21.022"
"3185:10:00","21.102","21.112","21.200","21.021"
"3185:11:00","21.103","21.113","21.200","21.022"
"3185:12:00","21.102","21.113","21.200","21.021"
"3185:13:00","21.102","21.112","21.204","21.024"
"3185:14:00","21.105","21.114","21.204","21.024"
"3185:15:00","21.108","21.116","21.203","21.024"
"3185:16:00","21.106","21.115","21.203","21.026"
"3185:17:00","21.104","21.117","21.202","21.027"
"3185:18:00","21.106","21.117","21.202","21.025"
"3185:19:00","21.104","21.116","21.202","21.025"
"3185:20:00","21.107","21.118","21.203","21.024"
"3185:21:00","21.106","21.117","21.205","21.023"
"3185:22:00","21.107","21.120","21.207","21.026"
"3185:23:00","21.106","21.118","21.205","21.026"
"3185:24:00","21.107","21.118","21.206","21.027"
"3185:25:00","21.109","21.119","21.209","21.028"
"3185:25:00","21.109","21.119","21.209","21.028"
"3185:26:00","21.108","21.120","21.207","21.029"
"3185:27:00","21.108","21.120","21.208","21.029"
"3185:28:00","21.108","21.119","21.207","21.026"
"3185:29:00","21.110","21.119","21.204","21.026"
"3185:30:00","21.110","21.120","21.201","21.026"
"3185:31:00","21.108","21.120","21.202","21.025"
"3185:32:00","21.108","21.117","21.199","21.022"
"3185:33:00","21.109","21.119","21.198","21.023"
"3185:34:00","21.108","21.119","21.199","21.023"
"3185:35:00","21.108","21.118","21.201","21.022"
"3185:36:00","21.108","21.115","21.201","21.020"
"3185:37:00","21.106","21.117","21.199","21.017"
"3185:38:00","21.107","21.117","21.197","21.018"
"3185:39:00","21.105","21.117","21.193","21.018"
"3185:40:00","21.105","21.117","21.193","21.019"
"3185:41:00","21.105","21.115","21.193","21.017"
"3185:42:00","21.104","21.115","21.191","21.015"
"3185:43:00","21.103","21.114","21.190","21.012"
"3185:44:00","21.105","21.115","21.187","21.010"
